Iterations,Value,Algorithm,FileID
300000,353797728.0,shade,9
600000,310533816.0,shade,9
900000,291580040.0,shade,9
1200000,279864860.0,shade,9
1500000,272515796.0,shade,9
1800000,267185056.0,shade,9
2100000,262759780.0,shade,9
2400000,259229140.0,shade,9
2700000,256350524.0,shade,9
3000000,253805988.0,shade,9
120000,5701800680.0,ERDGshade,9
300000,5695847080.0,ERDGshade,9
600000,5695830080.0,ERDGshade,9
900000,5695788440.0,ERDGshade,9
1200000,5658740240.0,ERDGshade,9
1500000,5651785120.0,ERDGshade,9
1800000,5647469640.0,ERDGshade,9
2100000,4876660920.0,ERDGshade,9
2400000,4824354600.0,ERDGshade,9
2700000,700113668.0,ERDGshade,9
3000000,653896000.0,ERDGshade,9
120000,266743240.0,shadeils,9
300000,243246664.0,shadeils,9
600000,216147624.0,shadeils,9
900000,207992876.0,shadeils,9
1200000,203061596.0,shadeils,9
1500000,199660780.0,shadeils,9
1800000,193274108.0,shadeils,9
2100000,190136996.0,shadeils,9
2400000,187560572.0,shadeils,9
2700000,184545336.0,shadeils,9
3000000,181743280.0,shadeils,9
120000,5693148720.0,ERDGshadeils,9
300000,5195616000.0,ERDGshadeils,9
600000,536209684.0,ERDGshadeils,9
900000,342603984.0,ERDGshadeils,9
1200000,327209840.0,ERDGshadeils,9
1500000,282446500.0,ERDGshadeils,9
1800000,253051328.0,ERDGshadeils,9
2100000,242932772.0,ERDGshadeils,9
2400000,240286476.0,ERDGshadeils,9
2700000,231058096.0,ERDGshadeils,9
3000000,229105152.0,ERDGshadeils,9
120000,94657179.6,shade,10
300000,94315204.0,shade,10
600000,94058645.6,shade,10
900000,93940693.6,shade,10
1200000,93739889.2,shade,10
1500000,93593813.2,shade,10
1800000,93522017.6,shade,10
2100000,93466638.8,shade,10
2400000,93392737.6,shade,10
2700000,93316370.4,shade,10
3000000,93257162.4,shade,10
120000,96378128.4,ERDGshade,10
300000,96378126.8,ERDGshade,10
600000,96378120.8,ERDGshade,10
900000,96378117.6,ERDGshade,10
1200000,96376766.4,ERDGshade,10
1500000,96376764.0,ERDGshade,10
1800000,96376764.0,ERDGshade,10
2100000,95187006.0,ERDGshade,10
2400000,94543858.8,ERDGshade,10
2700000,94543856.8,ERDGshade,10
3000000,94403290.0,ERDGshade,10
120000,93975227.2,shadeils,10
300000,93590512.0,shadeils,10
600000,93232486.0,shadeils,10
900000,93048652.8,shadeils,10
1200000,92999746.0,shadeils,10
1500000,92980551.6,shadeils,10
1800000,92928651.6,shadeils,10
2100000,92875809.2,shadeils,10
2400000,92846062.0,shadeils,10
2700000,92809288.8,shadeils,10
3000000,92715650.4,shadeils,10
120000,96380704.0,ERDGshadeils,10
300000,96379146.8,ERDGshadeils,10
600000,95285270.8,ERDGshadeils,10
900000,94957410.0,ERDGshadeils,10
1200000,94945220.0,ERDGshadeils,10
1500000,94855826.0,ERDGshadeils,10
1800000,94824275.2,ERDGshadeils,10
2100000,94784807.6,ERDGshadeils,10
2400000,94712681.6,ERDGshadeils,10
2700000,94711282.4,ERDGshadeils,10
3000000,94646916.8,ERDGshadeils,10
120000,3699208600.0,shade,11
300000,1265644836.0,shade,11
600000,619834456.0,shade,11
900000,389403256.0,shade,11
1200000,272622620.0,shade,11
1500000,209098824.0,shade,11
1800000,164604166.8,shade,11
2100000,136805831.2,shade,11
2400000,118948652.8,shade,11
2700000,104626647.6,shade,11
3000000,96115801.2,shade,11
120000,6.446844384e+17,ERDGshade,11
300000,6.446786264e+17,ERDGshade,11
600000,6.445778584e+17,ERDGshade,11
900000,7.816395892e+16,ERDGshade,11
1200000,3.991585756e+16,ERDGshade,11
1500000,4194730116000000.0,ERDGshade,11
1800000,3255157048000000.0,ERDGshade,11
2100000,571421939200000.0,ERDGshade,11
2400000,104679576600000.0,ERDGshade,11
2700000,71478659320000.0,ERDGshade,11
3000000,157286000000.0,ERDGshade,11
120000,19645137880.0,shadeils,11
300000,1382896348.0,shadeils,11
600000,462843296.0,shadeils,11
900000,139131532.0,shadeils,11
1200000,48136466.0,shadeils,11
1500000,16236647.4,shadeils,11
1800000,6273367.4,shadeils,11
2100000,3622098.52,shadeils,11
2400000,2447748.2,shadeils,11
2700000,1779697.104,shadeils,11
3000000,1422830.2480000001,shadeils,11
120000,1.1681381036e+17,ERDGshadeils,11
300000,2452064196856000.0,ERDGshadeils,11
600000,39341114240.0,ERDGshadeils,11
900000,12297545680.0,ERDGshadeils,11
1200000,5565854276.0,ERDGshadeils,11
1500000,2521039540.0,ERDGshadeils,11
1800000,1904928681.6,ERDGshadeils,11
2100000,152523911.2,ERDGshadeils,11
2400000,65789475.08,ERDGshadeils,11
2700000,27202905.76,ERDGshadeils,11
3000000,16142293.615999999,ERDGshadeils,11
120000,5121820280.0,shade,12
300000,698277916.0,shade,12
600000,240823341.6,shade,12
900000,103043167.32,shade,12
1200000,82585079.0,shade,12
1500000,49425927.812,shade,12
1800000,25085753.46,shade,12
2100000,21777762.66,shade,12
2400000,21138084.352,shade,12
2700000,18306916.836,shade,12
3000000,17923747.255999997,shade,12
120000,5478152240.0,ERDGshade,12
300000,779958840.0,ERDGshade,12
600000,219198937.2,ERDGshade,12
900000,144478977.6,ERDGshade,12
1200000,114671755.36,ERDGshade,12
1500000,100573982.52,ERDGshade,12
1800000,95610524.04,ERDGshade,12
2100000,91993012.12,ERDGshade,12
2400000,87929152.328,ERDGshade,12
2700000,87368472.41600001,ERDGshade,12
3000000,1788078.0,ERDGshade,12
120000,3534516.8724,shadeils,12
300000,3364.5371600000003,shadeils,12
600000,2192.68388,shadeils,12
900000,1987.223,shadeils,12
1200000,1888.4965039999997,shadeils,12
1500000,1784.798948,shadeils,12
1800000,1771.0675880000001,shadeils,12
2100000,1758.1501079999998,shadeils,12
2400000,1745.724228,shadeils,12
2700000,1730.534668,shadeils,12
3000000,1708.046428,shadeils,12
120000,5687893.2324,ERDGshadeils,12
300000,3280.77124,ERDGshadeils,12
600000,2333.37932,ERDGshadeils,12
900000,2256.7806,ERDGshadeils,12
1200000,2104.5038,ERDGshadeils,12
1500000,1974.580708,ERDGshadeils,12
1800000,1887.418788,ERDGshadeils,12
2100000,1742.6061768,ERDGshadeils,12
2400000,1640.1709716,ERDGshadeils,12
2700000,1575.5417155999999,ERDGshadeils,12
3000000,1525.7975956,ERDGshadeils,12
120000,8502708080.0,shade,13
300000,2821542040.0,shade,13
600000,1106786772.0,shade,13
900000,640756756.0,shade,13
1200000,401347852.0,shade,13
1500000,274586740.0,shade,13
1800000,212814033.2,shade,13
2100000,164623226.0,shade,13
2400000,141604488.8,shade,13
2700000,125640845.2,shade,13
3000000,118015856.8,shade,13
120000,7377711800.0,ERDGshade,13
300000,2443398920.0,ERDGshade,13
600000,1010660996.0,ERDGshade,13
900000,579038004.0,ERDGshade,13
1200000,374936276.0,ERDGshade,13
1500000,259452110.4,ERDGshade,13
1800000,192898933.6,ERDGshade,13
2100000,159347661.2,ERDGshade,13
2400000,119307241.2,ERDGshade,13
2700000,107458874.8,ERDGshade,13
3000000,76260440.0,ERDGshade,13
120000,11220259800.0,shadeils,13
300000,4043798520.0,shadeils,13
600000,1012776508.0,shadeils,13
900000,190530203.6,shadeils,13
1200000,28098798.8,shadeils,13
1500000,10370329.36,shadeils,13
1800000,5178355.64,shadeils,13
2100000,2866807.96,shadeils,13
2400000,1564929.0880000002,shadeils,13
2700000,822399.984,shadeils,13
3000000,426064.816,shadeils,13
120000,12538837280.0,ERDGshadeils,13
300000,4332063600.0,ERDGshadeils,13
600000,1176380768.0,ERDGshadeils,13
900000,359202216.0,ERDGshadeils,13
1200000,107583353.6,ERDGshadeils,13
1500000,40407047.6,ERDGshadeils,13
1800000,18863693.92,ERDGshadeils,13
2100000,9918437.4,ERDGshadeils,13
2400000,5339487.36,ERDGshadeils,13
2700000,3355630.64,ERDGshadeils,13
3000000,2300981.056,ERDGshadeils,13
120000,48927319200.0,shade,14
300000,8301314320.0,shade,14
600000,1524619620.0,shade,14
900000,991477560.4,shade,14
1200000,744216423.6,shade,14
1500000,670769022.4,shade,14
1800000,642549350.0,shade,14
2100000,312489198.0,shade,14
2400000,229765484.4,shade,14
2700000,207041724.0,shade,14
3000000,202409406.0,shade,14
120000,47512507200.0,ERDGshade,14
300000,9381785160.0,ERDGshade,14
600000,3528165188.0,ERDGshade,14
900000,2882366352.0,ERDGshade,14
1200000,2682468028.0,ERDGshade,14
1500000,2574055784.0,ERDGshade,14
1800000,2410748632.0,ERDGshade,14
2100000,2250898360.0,ERDGshade,14
2400000,2137590260.0,ERDGshade,14
2700000,2101119224.0,ERDGshade,14
3000000,848679600.0,ERDGshade,14
120000,108557264000.0,shadeils,14
300000,23051328760.0,shadeils,14
600000,2106743692.0,shadeils,14
900000,215211090.8,shadeils,14
1200000,53749123.2,shadeils,14
1500000,29127290.4,shadeils,14
1800000,19283713.76,shadeils,14
2100000,14113002.12,shadeils,14
2400000,11976042.0,shadeils,14
2700000,11092556.0,shadeils,14
3000000,10875903.28,shadeils,14
120000,53850567600.0,ERDGshadeils,14
300000,14682879640.0,ERDGshadeils,14
600000,1635167768.0,ERDGshadeils,14
900000,291821420.0,ERDGshadeils,14
1200000,98763592.8,ERDGshadeils,14
1500000,84315339.2,ERDGshadeils,14
1800000,49932755.2,ERDGshadeils,14
2100000,41109077.2,ERDGshadeils,14
2400000,33673176.0,ERDGshadeils,14
2700000,25982098.0,ERDGshadeils,14
3000000,24781991.6,ERDGshadeils,14
120000,21878624.8,shade,15
300000,10329672.32,shade,15
600000,6129109.52,shade,15
900000,4528345.52,shade,15
1200000,3659066.28,shade,15
1500000,3089761.72,shade,15
1800000,2679778.88,shade,15
