Row,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
3000000,130.4409,199.1325,20.04507,527253300.0,4336189.0,1057147.0,29326.05,8784289000000.0,218653300.0,94925430.0,44459210.0,1625.855,14289980.0,25904840.0,677157.3
120000,359687800000.0,112486.6,20.12617,289886000000.0,9789555.0,1071850.0,33895520000.0,1.27568e+16,6585669000.0,96682490.0,1.932895e+17,131992.0,14594720000.0,54953360000.0,36939790.0
600000,293281200.0,9828.162,20.05477,2899998000.0,8884305.0,1060160.0,996110400.0,273871900000000.0,578121400.0,94937150.0,6710436000.0,1825.735,1493468000.0,647310000.0,5575666.0
3000000,0.1214173,305.2922,20.0296,145767300.0,2678149.0,1038050.0,1398.008,37871030000000.0,179680400.0,94937150.0,4064335.0,1735.585,3430722.0,25503950.0,1888480.0
120000,368707700000.0,110286.7,20.17038,339173300000.0,9813360.0,1070041.0,105952300000.0,1.722373e+16,5302229000.0,96441180.0,5.233234e+16,17893560.0,9819388000.0,81681280000.0,51895270.0
600000,9285225000.0,5445.947,20.09386,23541890000.0,6064113.0,1065471.0,1149116000.0,196597900000000.0,644416500.0,95210720.0,53305940000.0,2157.05,934314300.0,5462381000.0,7419222.0
3000000,0.001072546,293.7488,20.04005,670463400.0,4217533.0,1057046.0,6031.839,38128380000000.0,232008900.0,94981760.0,119990.1,1778.163,1213075.0,37107060.0,1324595.0
120000,353640600000.0,98668.38,20.11143,24332920000000.0,10041150.0,1070281.0,1567337000000.0,490880800000000.0,5197100000.0,96216670.0,3.141557e+16,3288197.0,9738155000.0,62786040000.0,75845670.0
600000,27372280.0,7716.109,20.04239,158154700000.0,9940357.0,1066183.0,1409541000.0,197684500000000.0,256731900.0,95263850.0,86189680000.0,2450.564,547254200.0,940152700.0,7208601.0
3000000,7.321944e-12,188.9092,20.03865,362452600.0,3382961.0,1063893.0,17749.79,9159718000000.0,203096300.0,93674710.0,1010161.0,944.7106,1547023.0,24601120.0,1446744.0
120000,369132500000.0,117673.0,20.13382,37365830000000.0,10352530.0,1072427.0,1052903000.0,713662700000000.0,4910216000.0,96303060.0,8082689000000000.0,11505510.0,12746970000.0,33927720000.0,38747130.0
